#{"t_start": 1689342172.6475909, "env_id": "LunarLanderContinuous-v2"}
r,l,t
-1224.627424,95,64.447463
-766.331615,59,64.738836
-881.554834,78,64.925887
-2125.704075,141,65.181911
-909.175792,81,65.60021
-1876.475483,135,65.85434
-681.287226,70,66.291161
-1292.033265,98,66.509859
-718.507173,55,66.807674
-756.8178,60,66.991467
-779.771645,62,67.174317
-757.994196,57,67.363742
-910.506112,76,67.542006
-1278.126095,97,67.785995
-1142.360014,93,68.087363
-757.971991,63,68.375515
-965.424778,80,68.614511
-1306.323245,111,68.878626
-737.711999,57,69.21948
-1417.319946,116,69.406647
-1324.28009,100,69.774119
-732.230896,55,70.081993
-1197.413401,94,70.260749
-762.764795,55,70.547509
-713.165285,57,70.726238
-805.874339,65,70.90623
-872.037433,78,71.109627
-728.433972,57,71.353008
-1150.219313,91,71.580742
-917.89387,91,71.887834
-1411.330098,113,72.180398
-713.82486,56,72.514022
-1695.893748,121,72.695283
-862.295876,76,73.057464
-713.975757,58,73.286731
-1182.346997,94,73.467558
-1076.420088,89,73.749598
-1659.230863,132,74.024908
-731.814355,55,74.436046
-814.430738,65,74.611106
-805.155801,66,74.809828
-1282.449258,100,75.018375
-1668.54247,124,75.336846
-757.027217,65,75.705102
-1544.01452,123,75.914544
-1457.449287,113,76.300623
-891.779778,76,76.642335
-1010.852846,89,76.877757
-854.081674,81,77.142855
-865.272565,94,77.404662
-1402.738143,106,77.706139
-1676.977405,126,78.041068
-783.587536,61,78.419629
-1041.78351,100,78.612338
-929.271065,79,78.922359
-689.139577,55,79.16208
-861.452834,77,79.335181
-1123.079835,93,79.58775
-1226.499561,96,79.876521
-1803.599188,130,80.177721
-806.925961,64,80.565267
-836.143844,70,80.766215
-780.478195,66,80.980601
-813.453871,67,81.184038
-1032.973778,85,81.389605
-737.513944,60,81.641517
-754.047587,57,81.82724
-753.353856,62,82.028186
-1758.454347,124,82.256288
-806.481186,66,82.626557
-808.364966,87,82.830961
-1245.668516,103,83.095003
-1327.091605,104,83.406038
-837.512709,70,83.737174
-844.75189,70,83.972675
-1238.44624,107,84.205486
-842.22615,73,84.570688
-1085.695957,118,84.826102
-1105.352425,91,85.188791
-1033.423518,85,85.464268
-963.120656,81,85.726783
-1276.603258,96,85.977492
-1152.527002,91,86.270114
-1293.69935,100,86.583826
-1456.755259,112,86.941021
-840.876202,68,87.310053
-807.767075,69,87.527784
-1249.4095,99,87.740869
-1177.863944,91,88.055397
-866.072726,73,88.340408
-785.551594,68,88.569193
-737.933052,55,88.779431
-2162.468155,147,88.96784
-816.354247,64,89.463143
-932.793396,91,89.669
-826.411566,66,89.942044
-750.680206,59,90.152086
-1053.119521,96,90.344049
-854.897461,79,90.646666
-899.978339,75,90.886274
-1395.000191,106,91.128222
-1722.317595,124,91.453217
-1683.900313,134,91.844095
-782.245588,81,92.242934
-824.092331,72,92.486519
-893.304605,84,92.706113
-1017.198348,88,92.964873
-1573.94266,119,93.242922
-913.189235,80,93.599003
-904.130666,77,93.847884
-1477.861355,111,94.090609
-1187.637947,94,94.468623
-1567.339864,122,94.78771
-1549.381797,116,95.282823
-738.203749,58,95.651378
-732.095726,54,95.826468
-1293.336291,98,96.004494
-789.995091,61,96.352098
-969.773218,82,96.594181
-1244.930428,104,96.93011
-862.23512,71,97.335826
-1119.838975,101,97.618266
-804.655873,63,97.965305
-874.323132,76,98.21852
-878.58781,87,98.523482
-788.755786,63,98.865103
-1192.404593,92,99.123221
-767.924872,62,99.476402
-1144.406661,96,99.716162
-1062.644607,87,100.025604
-809.780784,63,100.289677
-792.535134,63,100.497651
-815.530309,71,100.689437
-1081.050904,93,100.923246
-801.051069,69,101.219719
-719.84468,57,101.465115
-1827.790894,130,101.718213
-1028.874594,85,102.203956
-714.64545,59,102.485996
-753.531943,57,102.684021
-1197.659392,93,102.883202
-747.486689,58,103.198675
-920.345745,80,103.388931
-1725.381215,122,103.658764
-1339.401212,100,104.069307
-849.907014,72,104.389003
-1137.973087,90,104.625069
-1961.80534,135,104.937961
-745.831577,60,105.395153
-1098.144409,86,105.604192
-2109.37068,142,105.897749
-701.091302,60,106.363571
-993.84148,92,106.572472
-770.152712,60,106.87552
-904.05364,76,107.076004
-859.05549,71,107.333981
-1218.039442,94,107.588823
-790.996168,85,107.900382
-1111.75057,91,108.336423
-779.148119,59,108.647687
-725.902491,59,108.833994
-881.949692,74,109.112018
-1553.47259,119,109.497297
-1207.779825,99,109.918614
-757.324051,57,110.223559
-793.326539,68,110.418813
-969.613871,92,110.674189
-118.645653,64,111.016184
-117.712493,68,111.234628
-133.802232,56,111.454525
-162.259709,75,111.63498
-139.716059,65,111.877034
-5.395427,109,112.182053
-60.1253,1000,112.758817
-75.502249,91,116.672915
-116.155099,63,117.043375
-71.578176,79,117.305259
-73.754098,63,117.62235
-90.881578,96,117.874681
-116.133296,94,118.252912
-77.651255,116,118.619204
-88.56999,71,119.076705
-146.00429,80,119.376573
-78.255622,101,119.689749
-47.559615,70,120.070649
-31.615792,78,120.340601
-89.463613,73,120.641476
-99.496356,77,120.931319
-111.982337,71,121.23436
-115.417298,90,121.516863
-102.15905,89,121.885498
-79.026636,94,122.239927
-117.515061,79,122.604716
-88.638789,65,122.904893
-99.533241,68,123.156392
-110.297458,64,123.419902
-105.409138,90,123.679257
-78.734012,97,124.041426
-122.430488,95,124.414751
-123.285899,84,124.711981
-121.23689,73,124.989178
-127.454346,95,125.227834
-110.94879,68,125.529499
-110.034463,90,125.74046
-110.534456,97,126.019294
-115.399749,84,126.352958
-131.542436,89,126.647659
-119.165455,65,126.919146
-138.513659,108,127.124054
-98.342588,87,127.452236
-136.663491,127,127.728802
-104.265425,90,128.132459
-109.729586,84,128.446546
-96.89059,113,128.70686
-118.244627,91,129.05332
-111.210073,86,129.379859
-130.561254,75,129.688191
-129.707969,77,129.932994
-95.944823,149,130.179394
-133.873056,75,130.622265
-113.014979,95,130.858481
-121.313944,95,131.152546
-86.719381,69,131.455071
-134.316938,83,131.708103
-736.785183,198,132.005866
-149.551544,185,132.644063
-671.873083,143,133.299637
-126.27227,140,133.80918
-122.814858,94,134.349612
-639.769069,123,134.739755
-652.811803,188,135.230725
-132.202335,75,135.94093
-486.275595,125,136.241396
-80.058719,122,136.719074
-446.219572,90,137.127116
-127.82027,52,137.397884
-166.712629,75,137.559452
-489.297591,111,137.792578
-125.148682,137,138.141642
-75.564014,65,138.561952
-78.667865,53,138.764274
-122.121378,118,138.941834
-104.764223,67,139.292532
-78.476633,56,139.504712
-109.300839,174,139.700387
-122.211232,92,140.230233
-140.540176,61,140.50831
-77.675561,61,140.695556
-123.278054,79,140.884092
13.716973,106,141.136453
-103.224978,84,141.462768
-384.184007,191,141.745054
-137.172486,81,142.312725
-120.7185,65,142.567515
-76.244118,64,142.772287
-321.408625,109,142.981403
-364.921776,108,143.340755
-109.960845,89,143.676341
-109.499471,55,143.982254
-569.317224,126,144.169406
-145.429726,61,144.563544
-198.027255,92,144.767159
-99.540166,57,145.074791
-125.168894,79,145.270375
-116.568451,73,145.542967
-124.73194,79,145.799105
-82.258972,110,146.083026
-359.060862,123,146.471141
-220.369519,102,146.93546
-336.207985,144,147.372265
-70.284592,54,147.870311
-15.011957,1000,148.231652
-151.255618,64,151.93237
-161.98798,71,152.175593
-80.647127,61,152.439013
-78.656028,61,152.669667
-337.923059,115,152.907324
-209.855194,184,153.358319
-52.898778,88,154.036235
-156.513618,60,154.367357
-200.586914,89,154.605223
-120.323802,60,154.939885
-129.889234,58,155.168927
-275.437359,105,155.400466
-103.528409,59,155.79881
-105.683465,57,156.026572
-92.717756,89,156.252573
-47.285611,96,156.595519
-137.498133,76,157.001399
-329.479747,139,157.33637
-289.404798,137,157.895056
-343.616313,119,158.432345
-127.823515,68,158.89029
-119.597322,74,159.156118
-124.40105,83,159.44801
-301.700227,154,159.784385
-84.123096,63,160.365705
-68.704961,65,160.612748
-104.563459,63,160.865804
-148.457079,75,161.115605
-68.123714,103,161.408676
-131.142645,88,161.80952
-321.352972,94,162.153087
-123.885021,76,162.518462
-124.409609,67,162.803856
-167.307455,61,163.059419
-238.060595,108,163.306465
-53.78261,87,163.716588
-142.293321,104,164.033141
-90.568397,69,164.368946
-156.267188,69,164.579872
-161.266259,107,164.795178
-99.213741,97,165.142415
-237.440174,81,165.46419
-296.581364,86,165.732417
-110.704388,75,165.992038
-395.158566,126,166.226835
-336.377463,137,166.611492
-30.162422,120,167.054182
-109.571304,64,167.426588
-356.681137,90,167.628838
-380.868526,73,167.903605
-346.07799,87,168.160745
-335.106871,91,168.469161
-274.633715,107,168.747162
-116.032355,65,169.066196
-236.937396,67,169.262554
-340.065458,100,169.472161
-54.47679,74,169.772554
-28.623949,67,169.998332
-135.583461,60,170.199034
-346.161616,87,170.405374
-312.517206,92,170.685843
-299.591256,72,170.966238
-110.890435,65,171.212161
-263.739831,70,171.408725
-212.322496,68,171.621119
-107.340177,73,171.82646
-139.281269,64,172.047785
-18.949619,62,172.263745
-97.299275,72,172.493969
-342.182431,87,172.763761
-184.645638,90,173.031652
-134.07826,78,173.305151
-25.517492,88,173.545404
-87.752529,92,173.857978
-310.182906,348,174.174573
-92.9313,94,175.313209
-64.161566,55,175.594191
38.767679,69,175.765356
-67.7523,89,175.977849
-16.037791,96,176.249843
-34.366794,71,176.537917
-4.674277,61,176.752848
29.842964,74,176.972701
-35.88346,84,177.214289
-61.484227,79,177.468802
4.376483,100,177.711333
-20.485388,91,178.062933
-33.417549,76,178.410399
-5.316041,1000,178.805385
-33.797688,75,181.775306
-48.782412,61,181.99993
-75.015904,94,182.191391
31.945597,103,182.477528
-46.073545,94,182.793298
30.938924,1000,183.233223
34.050278,76,186.180191
10.750189,1000,186.564232
-31.505449,360,190.312297
10.303583,157,191.372863
-96.2567,1000,191.988974
-57.519041,90,195.519881
-210.260062,123,195.871725
-237.678838,234,196.365044
-252.574315,222,197.263153
47.890884,1000,198.255252
-80.733962,1000,201.470241
-92.876324,69,204.438503
-21.937672,110,204.655897
9.504445,1000,205.17795
-10.417327,100,208.597483
-20.48393,91,208.97825
-105.564143,139,209.355894
23.391376,109,209.863633
-44.831628,113,210.280538
-42.896657,74,210.692875
-65.094966,205,210.983197
21.882696,114,211.726382
4.123294,1000,212.316426
-3.304597,1000,216.153877
-138.03347,363,219.804673
-149.48872,314,220.914891
-240.21535,406,221.909143
-92.027306,152,223.143918
-192.430794,210,223.616474
-151.542088,203,224.257682
-194.497699,228,224.890871
-268.449569,885,225.696358
22.877303,1000,228.628226
20.084562,1000,231.848822
204.423833,289,234.994461
-7.690062,1000,236.007219
-51.490022,286,239.2833
-132.404027,177,240.145094
-10.580107,130,240.691096
-125.620917,191,241.107575
-14.088772,112,241.692868
-206.152035,325,242.070723
6.525176,118,243.056613
-21.290773,113,243.418976
0.190652,127,243.775248
-11.045478,103,244.168608
-147.721149,309,244.522762
-29.055997,111,245.45173
-217.010482,681,245.912504
-27.837131,181,248.261962
15.05016,105,248.895785
-211.865448,136,249.278516
-69.422007,121,249.766546
-74.15497,109,250.198747
-44.181928,103,250.601385
-34.807138,258,251.000563
-170.853731,159,251.813415
-205.087922,165,252.383379
198.000961,518,252.989091
-18.997939,1000,255.068979
-12.819243,1000,258.299131
29.280668,1000,261.484581
-82.722907,197,264.501948
-57.39912,180,265.120016
-25.760184,1000,265.802399
-5.773224,1000,268.951842
-280.724739,203,272.045122
-4.896083,1000,272.821498
-62.100124,82,276.204266
-60.026688,203,276.555343
119.369264,716,277.285651
-49.713002,210,280.017404
-71.353933,1000,280.78424
120.741261,755,283.845474
-9.423797,1000,286.236759
-31.582691,156,289.272368
-66.5551,282,289.77204
-29.957515,96,290.658808
-61.802937,84,290.948629
148.867898,473,291.295169
-28.350334,1000,293.049165
-78.148583,1000,296.68388
-21.354228,1000,299.987895
-99.678077,125,302.938318
31.211595,1000,303.454127
27.680213,1000,306.53415
-99.354807,128,310.171574
-2.460042,1000,310.794141
-12.75957,182,314.521584
-30.522378,204,315.210969
-20.465497,1000,316.172068
-64.666844,149,319.894483
-261.166245,136,320.518192
19.945933,1000,321.385759
-104.61867,227,325.277782
-53.31786,157,326.142718
37.041838,1000,326.907165
-39.570442,131,331.008355
35.894171,1000,331.688445
-25.14368,111,335.582299
-29.641481,134,336.064228
-10.258196,203,336.607897
43.690993,1000,337.575323
-1.438164,172,341.756147
0.10962,1000,342.710553
1.631986,1000,346.944243
20.00946,1000,351.096487
-148.888093,151,355.271063
-63.318893,88,355.897841
-8.865047,1000,356.44762
28.127614,1000,360.124782
-75.917339,159,363.952686
24.824041,76,364.623118
44.04078,1000,365.100512
-47.595019,1000,369.232856
-65.156667,120,373.197194
2.078523,1000,373.859806
26.293087,1000,377.720121
-102.450253,111,381.681022
3.537323,115,382.115363
-3.10268,1000,382.722413
-18.092108,1000,386.70104
-48.012265,96,390.542328
-3.01638,1000,391.100588
-0.682535,1000,395.115065
-14.527584,1000,399.082536
64.502118,1000,402.983309
21.533878,1000,406.895436
25.276855,1000,410.793787
-176.865288,174,414.541208
7.452415,1000,415.358566
21.655949,1000,419.280851
-9.578398,1000,423.277026
8.887242,1000,427.27349
-24.013439,1000,431.324751
-69.886945,1000,435.175099
-35.725145,1000,439.061394
135.45872,523,442.922471
-120.428837,279,444.934612
-6.273274,1000,446.073635
-43.010294,1000,450.023936
-44.880242,93,454.084607
-1.305749,1000,454.632514
-45.349048,1000,458.690312
3.497415,1000,462.945892
-11.745302,1000,467.083154
19.661469,1000,470.982078
-58.918743,116,475.000263
-23.560231,1000,475.641221
23.963285,1000,479.82876
-278.271082,657,484.052199
24.549605,1000,486.945907
22.368632,1000,490.871383
-61.155757,115,494.70854
-6.507439,1000,495.333325
-70.925631,1000,499.273152
16.226821,1000,503.22676
-31.938201,1000,507.460106
-58.468098,1000,511.185377
5.253031,1000,515.250671
20.667789,1000,519.47436
-49.379942,1000,523.763285
-6.464399,1000,527.771735
-30.076643,1000,531.824224
-70.46858,1000,535.735674
-59.59879,1000,539.702703
-77.06122,1000,543.922542
32.203417,1000,548.271681
-52.017155,1000,552.452902
-76.8526,161,556.457643
-71.267093,1000,557.277267
-67.229021,1000,561.553957
-52.487165,1000,565.424453
-26.843146,1000,569.748182
-24.736578,1000,573.97665
-93.501377,1000,578.276974
-61.227247,1000,582.320055
-76.565735,1000,586.626402
-68.887879,144,590.436752
4.227838,1000,591.10429
38.346988,1000,594.395693
-78.49004,1000,597.716262
-61.475853,1000,601.019319
-84.222766,1000,605.195464
-10.982759,1000,609.228852
-19.898163,1000,613.278477
-50.932082,1000,617.255722
-1.706468,1000,621.162963
-23.972223,1000,625.265783
-20.128282,1000,629.275439
-26.188231,1000,633.316878
-27.528909,1000,637.293819
-21.630106,1000,641.229218
-35.760967,1000,645.20859
-17.768778,1000,649.199479
13.109946,1000,653.186645
-35.788113,1000,657.154412
-21.460892,1000,661.160598
-27.531315,1000,665.148645
-38.016238,1000,669.127513
-57.247023,317,672.990662
-24.071291,1000,674.381282
-147.910335,719,678.31276
211.247936,306,681.072289
-45.760177,1000,682.401279
0.629161,1000,686.361821
-37.60233,1000,690.412886
-58.220625,1000,694.438299
260.19834,409,698.322786
77.747153,1000,700.054175
-50.59069,1000,704.011854
62.145606,1000,708.013602
-114.61282,1000,712.082552
-77.099528,1000,716.06258
99.45581,1000,720.12014
-82.641318,1000,724.088882
-112.874224,608,727.99725
-58.575353,1000,730.492532
23.63128,1000,734.47487
-75.574115,1000,738.461951
-100.470557,1000,742.409323
229.957059,327,746.270387
7.757772,1000,747.703708
-63.667816,1000,751.755807
-70.142093,1000,755.287446
-15.901653,1000,758.487851
-61.745007,1000,761.806198
176.628961,392,765.651178
-17.664667,1000,767.321123
205.721608,573,771.210962
261.064459,701,773.527138
-78.035719,1000,776.363895
7.803902,1000,780.380096
247.876477,465,784.238952
241.17309,646,786.137123
266.124963,227,788.628956
28.312826,183,789.520876
-51.389209,1000,790.412116
152.671411,878,794.360283
-29.691764,1000,797.886324
248.173943,473,801.757736
14.747861,1000,803.745985
47.796544,1000,807.732219
66.170699,117,811.618352
222.732491,752,812.222556
-43.994215,1000,815.273666
40.516042,1000,819.272094
-8.883603,1000,823.234713
294.681564,533,827.13651
-61.443857,1000,829.355188
134.113754,1000,833.367318
-20.768083,1000,837.40096
-10.588274,1000,841.475588
-44.173951,1000,845.426351
-54.233726,1000,849.444278
-45.251979,1000,853.469996
303.124342,279,857.323033
-42.158978,1000,858.571605
-35.195246,1000,862.521893
286.014207,432,866.395756
171.166703,923,868.229821
253.493814,311,871.853122
261.22177,251,873.082529
275.232065,653,874.171428
-64.238049,1000,876.851083
-49.115692,1000,880.84935
260.172228,344,884.834019
235.11405,737,886.36412
162.116702,777,889.464894
182.323427,590,892.599129
252.162794,423,894.929303
13.040062,193,896.577835
233.993458,318,897.376794
182.401086,693,898.72737
146.319569,1000,901.614906
255.096106,565,905.515771
-19.380139,169,907.701901
241.584188,422,908.425238
239.216572,485,910.139342
244.429825,380,912.074762
166.93053,817,913.687838
-56.87407,177,916.83343
265.981997,643,917.644396
235.222393,348,920.141789
267.291914,236,921.503663
25.680434,172,922.420885
-64.338452,1000,923.257455
2.522144,140,927.09936
239.929974,309,927.693135
281.554167,294,928.933426
238.274781,673,930.27043
273.514982,283,932.898626
254.405165,408,934.070134
260.232139,278,935.678865
17.782509,1000,936.926284
227.715236,309,941.096958
249.116352,304,942.316423
192.72872,321,943.532977
199.737564,230,944.796284
223.038192,244,945.716357
126.097894,1000,946.846275
289.596267,490,950.75234
201.46535,380,952.701713
254.604631,610,954.261441
9.154332,123,956.596244
242.02398,218,957.101263
271.280368,365,957.993814
242.55791,330,959.500226
244.128437,371,960.819805
-70.450999,1000,962.382961
-24.153362,244,966.204426
