#{"t_start": 1689342172.6475909, "env_id": "LunarLanderContinuous-v2"}
r,l,t
30.596179,243,1205.928286
-32.977788,1000,1206.795507
240.982963,224,1209.877832
254.798634,406,1210.603063
231.524185,246,1211.856992
254.063683,237,1212.697921
275.159105,328,1213.471416
233.125426,370,1214.498226
266.658906,233,1215.667895
208.021371,504,1216.455563
221.533936,310,1217.986981
197.775754,547,1218.978061
264.478051,265,1220.597435
239.588336,528,1221.4368
213.536314,371,1223.02792
229.756396,369,1224.20325
226.931426,440,1225.716768
0.457915,186,1227.057052
247.733861,265,1227.6486
268.697827,200,1228.479036
226.431244,472,1229.161498
170.103166,673,1230.645048
-142.308662,587,1232.705274
285.830336,375,1234.743403
260.57646,407,1235.903959
249.516978,252,1237.133726
-173.873459,732,1238.062594
257.326829,255,1240.484131
249.090389,213,1241.394966
247.141784,943,1242.254249
240.194072,182,1245.196402
210.933062,463,1245.834872
233.642598,246,1247.305397
-143.549881,430,1248.099914
259.784943,259,1249.428826
254.012122,225,1250.226133
222.296127,342,1250.928975
232.299398,204,1251.97776
248.816414,169,1252.614069
267.862295,187,1253.133495
221.538501,728,1253.788418
217.206559,266,1255.946905
237.154647,682,1256.827068
225.199554,194,1258.868089
-95.032189,1000,1259.614541
-180.493648,723,1262.622984
-65.761913,1000,1264.885816
-170.943178,175,1267.81752
238.714901,192,1268.349041
122.695929,639,1268.999893
247.699804,429,1270.903585
-5.303842,141,1272.143975
-82.72071,1000,1272.703093
-118.720002,1000,1275.723422
223.462167,413,1278.634821
241.230248,413,1279.876947
252.979707,249,1281.09359
253.436659,231,1281.845635
249.804385,205,1282.540116
247.359629,197,1283.161295
245.925713,220,1283.759818
-75.321634,1000,1284.537164
-61.956381,1000,1287.548699
207.538658,251,1290.506324
-182.156555,294,1291.27379
254.833618,226,1292.149685
209.727993,463,1292.877074
226.440116,537,1294.29331
205.512561,442,1295.902797
249.68662,333,1297.223824
230.708385,328,1298.234201
255.308854,936,1299.325176
-85.027467,1000,1302.160556
233.978995,203,1305.064126
-122.790249,458,1305.712543
250.760045,209,1307.059431
274.598535,280,1307.706056
250.199126,262,1308.547338
258.799648,289,1309.360435
-147.125377,581,1310.449978
241.475757,210,1312.414212
156.517907,1000,1313.19606
-205.294875,906,1316.503012
249.746091,201,1319.572941
286.048512,290,1320.196046
247.407449,212,1321.07437
251.455531,163,1321.729831
260.873499,211,1322.255083
247.441118,216,1322.897016
-100.58843,1000,1323.687705
244.695976,361,1326.648858
215.909886,231,1327.72617
228.413211,217,1328.439038
268.500023,182,1329.104256
259.955592,233,1329.742174
238.66347,168,1330.474484
216.857097,291,1331.010094
247.372193,171,1331.888115
-69.653987,1000,1332.536025
220.153809,317,1335.523809
-73.556028,1000,1336.587682
236.683312,249,1339.536553
61.181278,169,1340.281176
255.116544,190,1340.811495
270.092925,369,1341.415473
214.031025,224,1342.535521
-174.108784,786,1343.309297
250.707166,330,1345.802152
222.975136,229,1346.800454
232.726641,182,1347.503142
253.340821,353,1348.084312
257.396281,224,1349.199393
248.28274,205,1349.904484
257.855527,330,1350.581265
236.748648,178,1351.641513
273.245128,255,1352.381155
283.498942,226,1353.187164
217.261206,297,1353.914116
224.486075,354,1354.967817
265.015145,181,1356.034612
9.011414,117,1356.574948
287.610302,189,1356.950174
5.887367,130,1357.519652
216.520225,317,1357.950308
273.424534,243,1358.913321
283.432818,203,1359.646035
240.829808,382,1360.308209
307.000753,206,1361.454934
255.42954,201,1362.08012
231.650214,223,1362.697683
243.434636,210,1363.381966
147.61118,1000,1364.153127
232.995662,328,1367.145882
255.401537,196,1368.147674
259.887382,170,1368.84917
76.943446,1000,1369.604198
297.983921,258,1372.676979
284.872511,191,1373.448121
258.958938,213,1374.082241
242.285378,246,1374.742699
260.429087,277,1375.4963
246.329149,178,1376.328642
277.848248,199,1376.920838
249.467426,161,1377.663705
277.428854,254,1378.194218
237.982808,777,1379.08683
284.614633,200,1381.37438
252.847387,325,1382.028054
-8.254904,115,1382.978876
214.289469,152,1383.358413
246.638234,153,1383.891444
248.073102,173,1384.43369
38.465547,146,1385.054813
247.614522,256,1385.568058
172.488489,242,1386.456636
213.846157,186,1388.147084
213.674683,182,1388.784138
213.613139,237,1389.368423
218.247277,225,1390.155935
237.913163,390,1390.908055
237.13026,527,1392.158473
296.502931,233,1393.764811
-89.815128,315,1394.53227
240.895433,312,1395.56651
223.988908,197,1396.512159
33.675199,261,1397.132579
186.473741,211,1397.935273
234.527744,186,1398.611469
259.65003,375,1399.236852
233.8256,274,1400.687347
-18.286604,109,1401.648955
243.726503,190,1402.028195
276.620602,255,1402.676508
266.642369,193,1403.7177
251.470466,243,1404.382256
239.898885,252,1405.118771
-26.439438,1000,1406.000157
205.417611,234,1408.93292
267.818491,447,1409.732623
261.499901,244,1411.069625
265.437186,194,1411.807018
245.979738,248,1412.413941
232.162631,263,1413.165423
235.917534,169,1413.956777
251.042255,170,1414.46937
238.918708,305,1415.010053
287.144719,270,1415.946949
256.535714,308,1416.789695
203.427814,204,1417.706376
247.957247,198,1418.330915
233.244187,203,1418.941269
263.073625,171,1419.556236
226.396757,192,1420.0913
227.213653,157,1420.670678
259.361122,372,1421.183265
159.056817,689,1422.376123
229.442342,160,1424.384037
254.98298,415,1424.91983
229.486129,283,1426.167803
238.239627,164,1427.008057
306.952102,208,1427.522463
259.200186,165,1428.142866
4.028198,85,1428.640549
277.791726,214,1428.923695
283.787173,370,1429.605423
264.213855,251,1430.715416
266.827075,208,1431.484342
245.04358,263,1432.122387
269.793696,211,1432.905708
219.388413,197,1433.548482
283.150078,205,1434.158663
250.655478,396,1434.805035
216.847402,205,1435.982487
257.148852,316,1436.615819
278.840611,197,1437.555428
272.79115,178,1438.15489
263.727952,234,1438.779965
158.233884,1000,1439.675594
260.456513,180,1442.908675
243.631249,274,1443.480258
288.042818,162,1444.323097
277.098093,228,1444.840456
276.414762,189,1445.531921
279.221264,160,1446.104841
259.873936,188,1446.609088
285.823594,167,1447.174629
238.74016,866,1447.820547
282.80611,212,1450.38689
270.770008,213,1451.026969
268.812155,146,1451.661129
28.099758,162,1452.111832
275.61451,322,1452.640619
223.039819,223,1453.608298
279.930154,188,1454.284841
286.426497,150,1454.853598
225.88864,275,1455.330305
276.657109,203,1456.161064
274.009019,160,1456.779599
276.320284,212,1457.280358
217.877705,171,1457.911999
253.106984,169,1458.438994
255.45375,186,1458.968613
262.791649,426,1459.582452
278.688456,208,1460.858853
266.570524,186,1461.489608
250.353591,162,1462.05189
265.14406,158,1462.537858
243.436308,181,1463.017616
232.534974,615,1463.643876
280.51395,216,1465.445327
276.989296,251,1466.105021
293.248051,337,1466.891115
242.211188,207,1467.919389
250.39444,233,1468.550716
118.857776,1000,1469.428801
253.303537,213,1472.346332
276.476336,179,1472.979392
244.235981,296,1473.544329
247.069057,190,1474.428215
278.486034,160,1474.999373
284.719988,302,1475.518684
248.51482,177,1476.414086
133.248778,1000,1477.093683
1.556246,175,1479.976907
282.848133,188,1480.506469
266.710645,157,1481.062931
285.26535,193,1481.538781
279.940391,245,1482.134655
264.364852,226,1482.884723
252.824601,186,1483.575641
294.364719,308,1484.157001
273.822211,289,1485.098797
252.737173,252,1485.972792
259.388098,327,1486.753945
244.724107,181,1487.717965
286.044054,268,1488.307058
270.980524,189,1489.111125
270.621075,147,1489.67584
278.252226,489,1490.179853
249.675223,180,1491.600593
259.366137,238,1492.158873
240.261943,252,1492.876974
255.663192,197,1493.631635
284.545044,218,1494.226736
295.856568,172,1494.881928
259.030606,157,1495.405753
230.593744,298,1495.900423
272.980606,162,1496.78033
284.739089,193,1497.273413
258.888007,153,1497.856442
280.942421,182,1498.327156
284.515307,258,1498.888493
264.085735,298,1499.715747
248.849313,151,1500.641517
126.245001,1000,1501.366008
285.190963,197,1504.488069
255.921519,209,1505.124481
235.35602,552,1505.83086
267.076591,209,1507.594884
238.125001,179,1508.248754
273.682792,192,1508.803554
276.169749,260,1509.412432
236.824396,910,1510.343078
272.463019,300,1513.94945
287.285326,253,1514.904443
261.000673,948,1515.809465
250.08523,166,1518.580472
253.568851,154,1519.079051
251.799044,186,1519.545995
274.515336,547,1520.166474
210.915686,710,1522.206289
219.192208,727,1524.58688
271.585814,254,1526.786734
277.152759,180,1527.559164
253.240269,158,1528.11072
261.600676,229,1528.607593
218.190443,344,1529.386503
244.953916,229,1530.41935
260.485721,161,1531.111521
262.500618,158,1531.60167
225.007863,543,1532.15911
42.720255,154,1533.745485
270.8583,153,1534.222067
245.166225,170,1534.689216
279.132708,232,1535.252069
302.323548,200,1535.985766
244.850336,174,1536.610136
265.501827,161,1537.163994
260.627981,156,1537.657593
257.148417,152,1538.128263
246.39607,148,1538.601853
277.477401,167,1539.070476
253.115099,254,1539.602361
260.448558,315,1540.54965
270.57193,625,1541.887873
262.734482,261,1543.905643
277.518839,133,1544.704604
27.295735,159,1545.220756
267.348962,201,1545.946533
251.172266,297,1546.923127
246.201626,157,1548.301484
64.134872,111,1548.925749
256.014344,360,1549.401015
287.945757,137,1550.74006
264.406686,178,1551.24672
120.622439,1000,1552.007066
244.605575,944,1555.077163
282.068653,186,1557.840094
238.588325,212,1558.450327
274.326821,190,1559.158749
260.108547,150,1559.818759
264.245275,468,1560.390221
280.976929,159,1562.216458
272.490835,186,1562.774386
274.664776,248,1563.354366
238.745138,237,1564.121172
277.615568,156,1564.835406
277.769801,243,1565.332558
263.805111,180,1566.058554
264.772089,170,1566.623236
258.863255,178,1567.150906
281.841902,195,1567.703459
300.153878,246,1568.322072
252.49597,183,1569.075673
250.648516,159,1569.670926
279.905862,186,1570.196052
247.828172,170,1570.790197
252.628778,158,1571.343825
267.30014,178,1571.861471
254.368489,179,1572.433086
275.120866,173,1573.009937
259.33929,215,1573.559714
245.628691,167,1574.215885
246.174634,184,1574.746999
273.541299,200,1575.457923
273.196816,212,1576.091637
257.952608,188,1576.805274
255.171312,182,1577.478038
289.467006,160,1578.043545
263.372641,276,1578.556899
245.424604,199,1579.408073
272.724136,177,1580.008755
279.654746,162,1580.561122
279.168946,152,1581.054155
261.510941,208,1581.538323
235.791104,174,1582.183056
288.55051,193,1582.732678
34.673258,167,1583.312466
169.842401,1000,1583.962091
250.62205,256,1586.885186
263.634992,180,1587.657848
291.234866,167,1588.206634
270.989633,413,1588.753386
240.776258,169,1590.01092
272.429543,200,1590.534805
302.596336,204,1591.147918
230.851782,204,1591.779016
299.771682,258,1592.40407
237.518875,207,1593.178549
298.240624,227,1593.815291
277.019198,182,1594.492098
263.498118,177,1595.047923
244.487718,160,1595.579357
258.228932,171,1596.060809
263.862456,210,1596.5865
244.74621,184,1597.214408
245.053994,173,1597.777515
271.701222,695,1598.38818
153.25811,1000,1600.555044
279.762106,184,1603.448313
264.459451,180,1604.002098
283.201921,164,1604.541473
268.470762,172,1605.039539
282.003116,240,1605.574576
262.861397,171,1606.284908
296.32326,235,1606.825114
290.736035,324,1607.560547
284.225504,181,1608.520373
253.630049,166,1609.071264
254.405386,190,1609.584508
298.075445,176,1610.154896
291.428875,287,1610.710763
272.103044,168,1611.566577
286.145332,202,1612.078388
280.236741,231,1612.700803
254.020298,176,1613.385233
264.920036,227,1613.932535
284.068294,176,1614.620631
274.382699,185,1615.15208
257.075204,177,1615.718644
243.109836,181,1616.255365
273.453503,228,1616.808817
186.009429,354,1617.516663
259.075042,241,1618.573581
286.770536,181,1619.352492
292.396068,204,1619.994275
293.330546,191,1620.791658
303.030692,227,1621.638344
244.805739,227,1622.359246
289.075288,263,1623.066621
263.548443,196,1623.905004
231.753906,155,1624.644825
274.700331,222,1625.200535
286.298448,213,1625.923657
259.229344,171,1626.63424
267.515763,208,1627.234783
253.030018,193,1628.041128
271.764586,204,1628.66562
278.944864,155,1629.298467
277.308542,198,1629.794395
315.690485,177,1630.43684
200.053443,907,1631.111174
277.376126,167,1633.792911
274.129901,174,1634.313979
268.099287,166,1634.84008
251.666219,195,1635.362834
242.155614,171,1635.961122
303.370338,209,1636.489592
264.156763,378,1637.151847
287.470124,170,1638.329323
251.724852,166,1638.868679
269.192969,166,1639.38161
292.935946,242,1639.914965
28.905836,238,1640.686128
278.291608,244,1641.418037
246.89518,202,1642.168252
286.691132,217,1642.783066
270.992392,171,1643.434973
273.602838,172,1643.965459
194.959547,326,1644.509591
295.09955,216,1645.502599
268.292716,184,1646.155958
22.315624,169,1646.727315
265.970395,367,1647.27289
11.060451,174,1648.374095
285.048695,232,1648.908528
264.174623,163,1649.64219
288.172918,145,1650.152571
265.285967,159,1650.604157
269.367309,148,1651.095983
301.542183,233,1651.570256
244.109279,462,1652.326734
273.90087,165,1653.708006
266.948262,167,1654.227478
242.612408,156,1654.732401
258.583959,161,1655.215787
282.867286,162,1655.774713
268.183185,185,1656.357629
288.991505,240,1657.154322
258.879115,152,1657.902568
256.207207,188,1658.371956
287.564258,205,1658.959346
280.619893,156,1659.602545
249.472925,158,1660.078549
243.388523,162,1660.573235
264.625147,179,1661.102738
287.529629,196,1661.684946
272.598398,173,1662.284205
284.558368,228,1662.838431
284.777947,207,1663.527877
259.084217,163,1664.169962
259.433207,273,1664.686657
281.657976,169,1665.506679
30.832931,127,1666.031126
245.103711,169,1666.422102
290.106368,152,1666.941212
282.851825,143,1667.414737
282.690871,186,1667.85292
266.157947,298,1668.439608
254.880724,160,1669.355357
267.4639,741,1669.949358
235.990411,250,1672.217617
290.451733,149,1672.994041
276.704632,188,1673.456067
284.234503,160,1674.059605
270.953636,163,1674.553784
293.481937,247,1675.079704
294.723579,173,1675.831921
268.23714,178,1676.375737
249.473152,643,1677.080887
263.769636,195,1678.985173
288.271554,183,1679.61479
278.530833,370,1680.20183
256.248371,172,1681.288695
264.953841,232,1681.828537
275.181375,164,1682.515129
256.645794,340,1683.052182
258.590395,163,1684.054943
280.765781,183,1684.559885
259.021878,440,1685.153688
280.855181,153,1686.459159
33.705244,140,1686.917689
273.463899,173,1687.345891
136.989917,1000,1688.020252
234.640829,191,1690.94254
214.990193,280,1691.538006
49.406086,196,1692.373629
278.65607,188,1692.962529
260.328408,216,1693.545304
264.971334,156,1694.186475
251.699654,160,1694.673696
278.767642,169,1695.163488
261.04233,185,1695.679313
271.134335,158,1696.238521
-17.48855,200,1696.732786
267.950167,168,1697.338876
242.327596,197,1697.863451
286.106516,172,1698.470137
282.322686,202,1699.008264
239.974427,333,1699.696412
266.065523,181,1700.703811
289.39275,159,1701.264219
293.266536,169,1701.771411
268.204863,182,1702.300374
253.67598,284,1702.885037
298.689699,258,1703.763622
290.641443,156,1704.555866
306.422944,220,1705.044399
276.001978,196,1705.719324
287.767621,152,1706.319491
278.181392,234,1706.797905
278.576852,146,1707.519001
133.879257,1000,1708.134381
291.214129,286,1711.132039
262.794696,163,1711.976448
257.652283,642,1712.563737
257.186932,172,1714.471245
248.370695,261,1715.005512
306.425027,262,1715.803739
256.933268,482,1716.638614
282.546535,164,1718.057159
262.747627,199,1718.570934
254.441927,178,1719.182614
179.76012,520,1719.795156
275.535178,226,1721.342314
271.150134,176,1722.040678
275.202598,210,1722.590806
201.4374,410,1723.318751
-73.137526,505,1724.602662
276.827801,168,1726.13288
288.247953,158,1726.643284
242.9193,183,1727.124919
272.702502,152,1727.699663
263.478846,329,1728.188077
234.260717,267,1729.234558
252.942054,167,1730.037553
192.613336,392,1730.576746
190.04087,348,1731.751312
125.421335,527,1732.849418
259.419989,200,1734.390891
214.672834,307,1735.017248
216.094969,443,1735.9619
217.089476,605,1737.330414
245.831876,290,1739.121431
290.304976,230,1740.011151
261.597018,222,1740.710664
278.067296,171,1741.390791
218.789489,299,1741.922898
280.769312,218,1742.813268
250.968584,588,1743.536986
229.883991,215,1745.253588
278.756828,228,1745.904014
276.581376,217,1746.595007
290.326113,194,1747.241985
279.2153,212,1747.840826
270.632949,251,1748.492474
261.026697,163,1749.24035
302.230513,182,1749.738915
239.228587,353,1750.322279
214.754179,221,1751.36676
277.270363,154,1752.037527
248.476505,170,1752.509389
267.218397,180,1753.040917
268.420412,173,1753.603412
228.703445,341,1754.162074
256.831728,168,1755.169971
137.590587,1000,1755.826134
263.172724,201,1758.736013
261.876229,362,1759.365798
265.017306,178,1760.423824
273.593712,205,1760.96586
278.28817,168,1761.583395
256.265728,353,1762.117154
297.227325,188,1763.162138
234.032928,194,1763.727332
239.089043,320,1764.336081
250.331505,496,1765.329026
273.589291,163,1766.783875
270.657997,428,1767.319501
231.214402,207,1768.583828
245.853686,468,1769.297543
250.837813,183,1770.685607
300.945584,168,1771.244752
273.238847,189,1771.751691
256.345867,186,1772.318748
255.394609,212,1772.894214
245.220713,168,1773.534954
266.880007,173,1774.044196
280.026724,216,1774.585921
305.400593,200,1775.253727
278.657936,192,1775.879222
270.744474,216,1776.491684
281.12408,203,1777.209493
289.929261,161,1777.867527
214.852342,327,1778.387433
269.895262,169,1779.353457
251.62555,171,1779.873853
267.332075,155,1780.387803
265.569284,225,1780.876175
217.622369,453,1781.604585
272.458554,170,1782.967313
280.330597,188,1783.498323
241.24779,174,1784.066339
248.475888,635,1784.669497
284.905992,171,1786.55839
246.026579,163,1787.071874
289.36237,149,1787.568646
304.586923,201,1788.022755
267.443774,182,1788.62739
258.695661,164,1789.183291
290.634606,193,1789.683438
266.869901,153,1790.273446
149.47987,1000,1790.89056
280.485418,148,1793.821122
297.870991,147,1794.265607
272.018617,191,1794.717389
284.409899,185,1795.302603
300.199918,231,1795.873681
256.197653,175,1796.582561
256.199293,210,1797.124222
262.686453,159,1797.766425
281.325399,189,1798.275574
281.880319,198,1798.888455
295.383721,157,1799.538279
283.847522,206,1800.027621
274.839874,183,1800.657002
271.15275,160,1801.221535
261.173429,894,1801.830322
269.739138,196,1804.469635
240.751995,215,1805.064704
277.860841,178,1805.708517
283.900774,430,1806.286327
306.875054,173,1807.555826
292.682018,186,1808.091416
259.978579,213,1808.660088
169.721437,1000,1809.436331
254.528926,166,1812.366928
228.995142,959,1813.004759
273.756531,199,1815.857316
221.980576,361,1816.495171
283.941075,165,1817.567314
287.664815,195,1818.082309
264.254314,432,1818.719903
273.722052,234,1820.003589
275.682391,171,1820.717573
298.615774,212,1821.239188
267.313883,226,1821.878823
251.24643,631,1822.624685
248.583543,320,1824.482093
302.208853,170,1825.418288
284.728128,152,1825.934026
277.154596,176,1826.393263
189.229628,587,1826.994609
275.428568,182,1828.720643
256.215865,165,1829.304206
314.342251,267,1829.814876
282.668783,198,1830.607898
286.087776,202,1831.206838
233.693645,174,1831.819582
281.270326,154,1832.344055
239.870666,172,1832.820191
287.717982,156,1833.343047
186.753625,412,1833.851986
289.852942,203,1835.067935
293.327378,241,1835.694792
268.358896,180,1836.410956
269.371717,172,1836.949682
287.158916,207,1837.478451
284.243782,179,1838.107364
285.151902,213,1838.652323
265.844297,162,1839.290623
273.2975,163,1839.781405
260.915,182,1840.282543
249.23505,153,1840.836583
289.947936,165,1841.299507
284.222978,199,1841.807011
229.221627,286,1842.427219
-103.443605,366,1843.308109
266.546851,192,1844.391811
291.480069,207,1844.97794
257.940318,165,1845.598111
305.957112,202,1846.098945
282.027478,221,1846.709083
287.91159,182,1847.371582
265.027219,167,1847.915613
275.342893,214,1848.433203
285.231045,169,1849.074443
259.241926,201,1849.590036
310.447721,174,1850.193387
299.61563,164,1850.715031
290.010815,208,1851.220891
245.455994,162,1851.843231
297.213101,219,1852.340836
298.879824,190,1852.999186
270.908122,173,1853.574332
259.298931,162,1854.102724
217.507208,305,1854.617696
291.048622,194,1855.521736
274.293954,174,1856.113601
276.502286,175,1856.63753
277.711955,164,1857.167198
212.812168,533,1857.729474
250.463931,175,1859.324546
304.713246,175,1859.861441
283.101606,187,1860.389975
277.712785,158,1860.952382
260.669386,184,1861.433087
267.510338,163,1861.990827
268.800107,163,1862.491013
277.477494,210,1862.988274
299.407757,220,1863.627819
267.970455,219,1864.292079
285.986672,196,1864.946823
261.400972,165,1865.5394
309.134663,161,1866.035313
249.630866,186,1866.528139
291.606589,222,1867.09694
304.803642,217,1867.770412
275.270884,170,1868.424592
251.531055,531,1868.991734
275.390906,176,1870.53839
266.043294,193,1871.07915
277.45759,208,1871.673353
292.240651,162,1872.289719
264.130152,168,1872.785871
267.191195,155,1873.293974
269.434077,156,1873.764393
257.250938,807,1874.343089
262.572797,187,1876.675976
284.053931,212,1877.249349
274.74985,206,1877.88431
288.978628,197,1878.512819
238.449042,181,1879.104709
289.067664,212,1879.657076
260.221839,191,1880.298297
250.273748,208,1880.876734
258.2836,172,1881.507394
278.886509,228,1882.035271
288.193136,156,1882.711751
265.445964,179,1883.191899
243.660939,325,1883.762126
266.368066,167,1884.719919
274.914136,153,1885.232475
275.959178,158,1885.69533
253.764525,192,1886.179117
255.345177,382,1886.790236
236.644907,245,1887.930921
46.081416,145,1888.657839
263.653764,151,1889.104568
291.367176,163,1889.596957
266.62635,238,1890.099432
281.762101,156,1890.83429
251.551624,189,1891.316826
284.307901,167,1891.885279
280.841527,208,1892.39182
215.581018,376,1893.049014
275.532078,204,1894.160152
261.48845,257,1894.785704
266.2559,165,1895.553269
287.293499,184,1896.051758
271.509389,212,1896.619689
272.316679,180,1897.251988
239.464241,163,1897.78695
255.277409,233,1898.290537
261.856592,180,1898.989155
269.168014,189,1899.529636
279.058055,173,1900.104343
278.142156,186,1900.62797
272.879492,182,1901.189207
245.394147,188,1901.742701
286.841568,217,1902.311868
274.804422,162,1902.966801
272.718207,188,1903.461281
280.191752,167,1904.020571
305.330103,280,1904.540127
283.05821,208,1905.375586
244.478375,323,1906.024031
246.404454,147,1906.973334
253.690829,187,1907.427469
252.622804,179,1907.996581
281.923887,211,1908.541514
273.257202,153,1909.178939
269.176869,286,1909.662595
262.960532,167,1910.504292
273.726931,193,1911.023353
200.283038,418,1911.635809
274.140804,154,1912.866506
285.963104,206,1913.341395
252.029044,237,1913.974854
270.928781,227,1914.688916
272.826567,194,1915.379047
285.880142,183,1915.961369
234.933294,214,1916.52178
239.967406,651,1917.242171
287.263586,191,1919.165883
297.78154,159,1919.760391
261.381668,170,1920.241896
225.583829,175,1920.760298
289.468117,197,1921.302657
247.623336,185,1921.893052
264.897491,229,1922.460254
262.998774,172,1923.15106
272.30528,185,1923.671674
261.23135,171,1924.246311
213.245761,222,1924.771419
233.080539,206,1925.445778
254.00322,231,1926.079936
260.248721,314,1926.790349
280.544384,178,1927.721954
272.048186,178,1928.257279
215.619624,237,1928.800903
250.325544,183,1929.510578
250.045832,389,1930.091706
156.240698,1000,1931.381199
4.574874,146,1934.261855
247.583924,181,1934.708341
242.578087,162,1935.257667
241.596066,144,1935.744119
275.666316,166,1936.187922
263.378954,170,1936.698004
246.947033,173,1937.209245
247.471691,184,1937.72999
270.297527,173,1938.290481
262.759018,165,1938.810934
273.978979,175,1939.314335
235.607727,182,1939.848297
248.432124,210,1940.404082
257.776261,169,1941.041352
269.079598,197,1941.555165
36.287555,123,1942.150095
280.37262,153,1942.528871
296.369799,180,1942.992496
254.877944,230,1943.544867
277.931704,152,1944.235187
263.252247,164,1944.694738
283.463786,186,1945.198793
251.276967,179,1945.760676
288.496718,185,1946.299713
254.407665,693,1946.95051
250.272768,196,1949.034355
278.21339,162,1949.654023
256.831175,165,1950.144729
273.336476,264,1950.672635
279.662867,146,1951.464281
273.106886,385,1951.952639
280.438227,162,1953.085482
243.347074,167,1953.582637
312.21762,268,1954.102028
259.244993,159,1954.898911
271.5635,210,1955.38857
289.494131,156,1956.012927
279.551895,192,1956.497664
252.622894,160,1957.072476
296.105673,186,1957.56452
263.116464,603,1958.202845
293.619695,233,1959.974641
254.376767,166,1960.665927
290.848132,229,1961.177852
254.637327,191,1961.900784
247.070718,269,1962.512548
246.168787,241,1963.319411
258.609684,682,1964.12497
293.255824,183,1966.119283
263.380749,810,1966.788148
273.663745,155,1969.139779
278.478142,179,1969.608919
292.600178,202,1970.152415
278.748564,795,1970.856452
253.923801,159,1973.168892
273.957339,198,1973.656209
258.690284,162,1974.247856
268.494972,193,1974.749022
279.627953,932,1975.452202
265.202342,156,1978.175606
154.324735,1000,1978.789021
127.192389,1000,1982.248415
290.532325,201,1985.149671
255.877117,190,1985.752751
302.460992,214,1986.327707
260.014673,176,1986.963906
196.070692,651,1987.576992
254.066967,163,1989.464227
262.186512,158,1989.956959
304.492798,221,1990.449554
273.957764,160,1991.102408
285.023674,193,1991.598999
298.55108,195,1992.187365
280.024881,165,1992.77078
274.948135,178,1993.274419
275.908623,335,1993.839084
282.09647,146,1994.840174
270.033461,184,1995.288279
240.091742,227,1995.85036
110.085543,1000,1996.671774
215.489977,350,1999.594997
249.069496,211,2000.624111
247.424057,161,2001.248172
253.903873,226,2001.747805
243.903133,179,2002.42866
235.038873,159,2002.963552
258.548653,182,2003.452534
218.915812,228,2004.009728
301.529743,223,2004.698296
304.297797,211,2005.377465
287.368909,144,2006.002238
275.758407,190,2006.452653
272.000134,159,2007.02277
252.533598,939,2007.630111
283.394821,224,2011.068422
269.501478,259,2011.861493
264.21359,192,2012.827637
258.237968,556,2013.536469
264.350878,179,2015.25022
225.128663,188,2015.831415
261.8011,150,2016.407926
15.753038,199,2016.936691
234.691617,247,2017.579256
158.347951,1000,2018.469925
227.494797,165,2021.635205
264.753345,177,2022.146416
255.815807,205,2022.688535
254.020019,163,2023.3138
246.816211,191,2023.816493
237.225328,206,2024.395244
306.953559,244,2025.05674
257.179994,172,2025.797685
252.276089,998,2026.456705
284.057242,183,2029.396489
274.160294,184,2029.956388
234.255056,182,2030.512626
268.737005,166,2031.062993
33.62857,119,2031.568473
260.288868,189,2031.939977
272.719437,177,2032.569813
273.22163,177,2033.128337
251.911501,253,2033.682885
272.317186,187,2034.450487
162.393161,565,2035.095323
263.888629,164,2036.758216
297.198352,171,2037.255921
273.117518,148,2037.783148
268.925607,155,2038.230404
269.008435,187,2038.713429
293.406303,206,2039.329758
283.339098,219,2039.958893
302.737482,208,2040.635563
283.761762,231,2041.27051
284.286874,154,2041.986016
268.890794,190,2042.463566
287.461664,189,2043.04092
292.026391,192,2043.616054
301.033526,168,2044.206257
238.336077,214,2044.723642
269.998405,169,2045.381537
248.245479,170,2045.896551
291.508149,155,2046.437846
268.589499,195,2047.030018
236.670393,168,2047.641038
248.955057,156,2048.164252
245.078391,194,2048.650048
285.35005,210,2049.239644
264.212141,196,2049.889334
238.220399,165,2050.494281
259.564184,217,2051.007996
271.638746,177,2051.678271
278.975952,187,2052.245794
302.059905,220,2052.833674
264.769211,158,2053.503088
269.154223,225,2053.997312
253.963282,186,2054.695045
241.678558,157,2055.25347
266.149694,185,2055.737502
311.100837,232,2056.323637
254.533314,157,2057.094005
253.212738,169,2057.631316
291.213004,158,2058.210136
292.840592,186,2058.72167
278.103942,190,2059.289699
257.996697,207,2059.883026
302.461401,204,2060.511452
241.938279,245,2061.152864
234.410081,167,2061.895507
297.486999,166,2062.448851
287.518829,157,2063.010902
271.188099,185,2063.545876
256.45635,153,2064.192849
297.752289,186,2064.683667
255.33271,206,2065.320295
283.291491,153,2066.083653
279.249384,166,2066.706051
206.182975,736,2067.325105
272.49856,186,2069.554979
289.342517,220,2070.127868
-211.463393,445,2070.838436
280.153765,167,2072.149746
280.635228,178,2072.671451
253.117284,157,2073.206125
260.039826,153,2073.694132
270.423032,200,2074.176548
304.925656,226,2074.789742
250.508974,177,2075.480581
242.034827,164,2076.029792
266.116582,190,2076.540045
279.813152,161,2077.124548
278.829414,179,2077.623035
269.524059,157,2078.160046
269.115424,605,2078.721935
290.296392,175,2080.503005
291.553303,240,2081.044909
251.156509,373,2081.806387
250.020046,165,2082.983476
247.54475,214,2083.585818
286.953329,163,2084.285927
284.89086,148,2084.855068
-131.494888,632,2085.406549
254.597362,165,2087.342351
258.992855,158,2087.850709
284.793304,172,2088.349551
